Parent|Status|Heading|Suggested Unit|Suggested Type|Description|Example
CONG||CONG_MCIS||X|Initial water/moisture content source|Specimen trimmings
CONG||CONG_CORR||YN|Results corrected for equipment deformation|Y
CONS|*|LOCA_ID||ID|Location identifier|327-16A
CONS|*|SAMP_TOP|m|2DP|Depth to top of sample|24.55
CONS|*|SAMP_REF||X|Sample reference|24
CONS|*|SAMP_TYPE||PA|Sample type|U
CONS|*|SAMP_ID||ID|Sample unique identifier|ABC121415010
CONS|*|SPEC_REF||X|Specimen reference|1a
CONS|*|SPEC_DPTH|m|2DP|Depth to top of test specimen|24.55
CONS|*|CONS_INCN||X|Oedometer stress increment|3
CONS||CONS_IVR||3DP|Voids ratio at start of increment|0.8
CONS||CONS_INCF|kPa|0DP|Stress at end of stress increment/decrement|400
CONS||CONS_INCE||3DP|Voids ratio at end of stress increment|0.622
CONS||CONS_INMV|m2/MN|2SF|Reported coefficient of volume compressibility over stress increment|0.32
CONS||CONS_INSC||2SF|Coefficient of secondary compression over stress increment|0.12
CONS||CONS_CVRT|m2/yr|2SF|Coefficient of consolidation over stress increment determined by the root time method|2.1
CONS||CONS_CVLG|m2/yr|2SF|Coefficient of consolidation over stress increment determined by the log time method|4.1
CONS||CONS_TEMP|DegC|1DP|Average temperature over stress increment|22
CONS||CONS_REM||X|Remarks|
CONS||FILE_FSET||X|Associated file reference (e.g. test result sheets)|FS9
CTRC|*|LOCA_ID||ID|Location identifier|327-16A
CTRC|*|SAMP_TOP|m|2DP|Depth to top of sample|24.55
CTRC|*|SAMP_REF||X|Sample reference|24
CTRC|*|SAMP_TYPE||PA|Sample type|U
CTRC|*|SAMP_ID||ID|Sample unique identifier|ABC121415010
CTRC|*|SPEC_REF||X|Specimen reference|1a
CTRC|*|SPEC_DPTH|m|2DP|Depth to top of test specimen|24.55
CTRC|*|CTRC_TESN||X|Test / Stage Number|2
CTRC||CTRC_CELL|kPa|1DP|Final cell pressure|350.5
CTRC||CTRC_BPWP|kPa|1DP|Base porewater pressure|692
CTRC||CTRC_MPWP|kPa|1DP|Mid-height porewater pressure|692
CTRC||CTRC_MPB|%|2DP|Mid-height B value|99.12
CTRC||CTRC_BB|%|2DP|Base B value|99.1
CTRC||CTRC_TYPE||PA|Type of consolidation|ISOTROPIC
CTRC||CTRC_BACF|kPa|1DP|Final back pressure|200
CTRC||CTRC_ELAP|hh:mm:ss|T|Duration of test/stage number|0.401655093
CTRC||CTRC_CHGT|mm|2DP|Specimen height at end of stage|36.98
CTRC||CTRC_DIAE|mm|2DP|Specimen diameter at end of stage|75.21
CTRC||CTRC_MCE|%|X|Water content at end of stage|21.1
CTRC||CTRC_BDE|Mg/m3|2DP|Bulk density at end of stage|2.01
CTRC||CTRC_DDE|Mg/m3|2DP|Dry density at end of stage|1.6
CTRC||CTRC_RDE|%|1DP|Relative density index of sand at end of stage|90.1
CTRC||CTRC_INCE||3DP|Voids ratio at end of stage|0.765
CTRC||CTRC_ASE|kPa|1DP|Effective axial stress at end of stage|200.1
CTRC||CTRC_RSE|kPa|1DP|Effective radial stress at end of stage|100.1
CTRC||CTRC_SSE|kPa|1DP|Shear stress at end of stage|100.1
CTRC||CTRC_DEVE|kPa|1DP|Deviatoric stress at end of stage|100.1
CTRC||CTRC_MNSE|kPa|1DP|Mean effective stress at end of stage|99.7
CTRC||CTRC_RTOE||2DP|Ratio of radial to axial effective stress at end of stage|2.12
CTRC||CTRC_EASE|%|3DP|External axial strain at end of stage|0.221
CTRC||CTRC_VLSE|%|3DP|Volumetric strain from measured volume change at end of stage|0.271
CTRC||CTRC_RDSE|%|3DP|Radial strain from measured volume change at end of stage|0.232
CTRC||CTRC_B|%|1DP|B value|99.1
CTRC||CTRC_BETS||X|Bender element test sequence|After anisotropic consolidation stage 2
CTRC||CTRC_BEAX||PA|Bender element axis of measurement|hv
CTRC||CTRC_BEDS|mm|2DP|Distance between bender elements|1.92
CTRC||CTRC_MAT|s|4DP|Measured arrival time of propagated wave|0.4943
CTRC||CTRC_MATM||X|Method of measuring arrival time of propagated wave|Peak to peak
CTRC||CTRC_SWV|m/s|0DP|Calculated shear wave velocity|395
CTRC||CTRC_SMGM|MPa|1DP|Shear modulus Gmax|295.3
CTRC||CTRC_REM||X|Remarks|
CTRC||FILE_FSET||X|Associated file reference|FS10
CTRD|*|LOCA_ID||ID|Location identifier|327-16A
CTRD|*|SAMP_TOP|m|2DP|Depth to top of sample|24.55
CTRD|*|SAMP_REF||X|Sample reference|24
CTRD|*|SAMP_TYPE||PA|Sample type|U
CTRD|*|SAMP_ID||ID|Sample unique identifier|ABC121415010
CTRD|*|SPEC_REF||X|Specimen reference|1a
CTRD|*|SPEC_DPTH|m|2DP|Depth to top of test specimen|24.55
CTRD|*|CTRC_TESN||X|Test / Stage Number|2
CTRD|*|CTRP_CYC||X|Cycle number|5
CTRD||CTRD_TIME|yyyy-mmddThh:mm:ss|DT|Date/time of reading|2017-10-02T00:20:32
CTRD||CTRD_COND||PA|Test conditions|DRAINED
CTRD||CTRD_SDIA|mm|2DP|Specimen diameter|36.51
CTRD||CTRD_HIGH|mm|2DP|Specimen height|73.55
CTRD||CTRD_CELL|kPa|1DP|Cell pressure|350.1
CTRD||CTRD_BPWP|kPa|1DP|Base porewater pressure|692
CTRD||CTRD_MPWP|kPa|1DP|Mid-plane porewater pressure|692
CTRD||CTRD_EAS|%|3DP|External axial strain|0.002
CTRD||CTRD_LAS1|%|3DP|Local axial strain 1|0.002
CTRD||CTRD_LAS2|%|3DP|Local axial strain 2|0.001
CTRD||CTRD_VOL|%|3DP|Volumetric strain|0.005
CTRD||CTRD_RAD|%|3DP|Radial strain|0.012
CTRD||CTRD_SHSN|%|3DP|Shear strain|0.543
CTRD||CTRD_SHST|kPa|1DP|Shear stress|98.2
CTRD||CTRD_DEV|kPa|1DP|Deviatoric stress|80.2
CTRD||CTRD_PSD|kPa|1DP|Principal stress difference|150
CTRD||CTRD_MEES|kPa|1DP|Mean effective stress|510
CTRD||CTRD_SECE|MPa|1DP|Secant Young's Modulus (Local)|619.4
CTRD||CTRD_TANE|MPa|1DP|Tangent Young's Modulus|619.4
CTRD||CTRD_FREQ|Hz|2SF|Loading frequency|0.31
CTRD||CTRD_CSTS|kPa|1DP|Cyclic amplitude|200
CTRD||CTRD_ACVS|kPa|1DP|Average cyclic axial stress|200
CTRD||CTRD_DAVS|%|3DP|Double amplitude axial strain|14.323
CTRD||CTRD_CESR||2DP|Compression/Extension stress ratio|0.02
CTRD||CTRD_EMPR|%|1DP|Excess mid-plane pore pressure ratio|5
CTRD||CTRD_EBPR|%|1DP|Excess base pore pressure ratio|9
CTRD||CTRD_REM||X|Remarks|
CTRD||FILE_FSET||X|Associated file reference (e.g. test result sheets)|FS10
CTRG|*|LOCA_ID||ID|Location identifier|327-16A
CTRG|*|SAMP_TOP|m|2DP|Depth to top of sample|24.55
CTRG|*|SAMP_REF||X|Sample reference|24
CTRG|*|SAMP_TYPE||PA|Sample type|U
CTRG|*|SAMP_ID||ID|Sample unique identifier|ABC121415010
CTRG|*|SPEC_REF||X|Specimen reference|1a
CTRG|*|SPEC_DPTH|m|2DP|Depth to top of test specimen|24.55
CTRG||SPEC_DESC||X|Specimen description|CLAY
CTRG||SPEC_PREP||X|Specimen preparation technique used|Water pluviation
CTRG||SPEC_BASE|m|2DP|Depth to base of specimen|24.65
CTRG||CTRG_TYPE||PA|Type of test|CAUc/CIUc
CTRG||CTRG_MCI|%|X|Initial water/moisture content|21.3
CTRG||CTRG_MCF|%|X|Final water/moisture content|22.1
CTRG||CTRG_H2O||X|Description of type of water used for filter flushing, and salt content if relevant|Salt water 30g/L
CTRG||CTRG_SBP|kPa|1DP|Saturation back pressure|102.5
CTRG||CTRG_SATR|%|0DP|Initial degree of saturation after back pressure|98
CTRG||CTRG_IRD|%|1DP|Initial sample relative density|90.1
CTRG||CTRG_SDIA|mm|2DP|Initial specimen diameter|38.25
CTRG||CTRG_HIGT|mm|2DP|Initial height of specimen|76.51
CTRG||CTRG_TMSS|g|2DP|Total mass of installed specimen|102.53
CTRG||CTRG_PDEN|Mg/m3|XN|Particle density with prefix # if value assumed|#2.65
CTRG||CTRG_MADD|Mg/m3|2DP|Maximum density of sand|1.89
CTRG||CTRG_MIDD|Mg/m3|2DP|Minimum density of sand|1.78
CTRG||CTRG_DDEN|Mg/m3|2DP|Initial dry density|1.84
CTRG||CTRG_BDEN|Mg/m3|2DP|Initial bulk density|2.12
CTRG||CTRG_IVR||3DP|Initial voids ratio|0.987
CTRG||CTRG_SAT||X|Method of saturation|Back pressure, none
CTRG||CTRG_DURN|day|1DP|Test Duration|2.5
CTRG||CTRG_REM||X|Remarks|
CTRG||CTRG_METH||X|Test method|ASTM D5311/D5311M-13
CTRG||CTRG_DEV||X|Deviations from the test method|
CTRG||CTRG_LAB||X|Name of testing laboratory/organization|ACME Laboratories plc
CTRG||CTRG_CRED||X|Accrediting body and reference number (when appropriate)|UKAS 0000
CTRG||TEST_STAT||X|Test status|Checked
CTRG||FILE_FSET||X|Associated file reference (e.g. equipment calibrations)|FS9
CTRP|*|LOCA_ID||ID|Location identifier|327-16A
CTRP|*|SAMP_TOP|m|2DP|Depth to top of sample|24.55
CTRP|*|SAMP_REF||X|Sample reference|24
CTRP|*|SAMP_TYPE||PA|Sample type|U
CTRP|*|SAMP_ID||ID|Sample unique identifier|ABC121415010
CTRP|*|SPEC_REF||X|Specimen reference|1a
CTRP|*|SPEC_DPTH|m|2DP|Depth to top of test specimen|24.55
CTRP|*|CTRC_TESN||X|Test / Stage Number|2
CTRP|*|CTRP_CYC||0DP|Cycle number|2
CTRP||CTRP_CYCF||0DP|Cycle number of failure|29
CTRP||CTRP_PWPM|kPa|1DP|Maximum excess porewater pressure|100.1
CTRP||CTRP_MNPP|kPa|1DP|Minimum excess porewater pressure|95.1
CTRP||CTRP_MXSS|kPa|1DP|Maximum shear stress|125.2
CTRP||CTRP_MNSS|kPa|1DP|Minimum shear stress|110.2
CTRP||CTRP_AVSS|kPa|1DP|Mean shear stress|99.2
CTRP||CTRP_CSS|kPa|1DP|Cyclic shear stress ((Max-Min)/2)|117.2
CTRP||CTRP_ACVS|kPa|1DP|Average cyclic axial stress|200.1
CTRP||CTRP_ASF|%|3DP|Axial strain at failure|0.015
CTRP||CTRP_FPWP|kPa|1DP|Porewater pressure at failure|320.1
CTRP||CTRP_QMAX|kPa|1DP|Maximum deviatoric stress|232.2
CTRP||CTRP_QMIN|kPa|1DP|Minimum deviatoric stress|75.1
CTRP||CTRP_MNES|kPa|1DP|Mean effective stress at end of CTRD_CYC|81.2
CTRP||CTRP_EAMX|%|3DP|Maximum axial strain|0.258
CTRP||CTRP_EAMN|%|3DP|Minimum axial strain|0.258
CTRP||CTRP_FVR||3DP|Final voids ratio|0.783
CTRP||CTRP_QEMX|kPa|1DP|Deviatoric stress at maximum axial strain|195.1
CTRP||CTRP_QEMN|kPa|1DP|Deviatoric stress at minimum axial strain|55.2
CTRP||CTRP_ESEC|MPa|1DP|Secant modulus|452.2
CTRP||CTRP_DAMP||2DP|Damping ratio|7.31
CTRP||CTRP_MODE||X|Mode of failure|Brittle
CTRP||CTRP_DIPL|%|2DP|Percent Difference from Programmed Load|3.24
CTRP||CTRP_OBP||X|Observed Performance (Visual)|Uniform straining
CTRP||CTRP_REM||X|Remarks|
CTRP||FILE_FSET||X|Associated file reference (e.g. test result sheets)|FS10
CTRS|*|LOCA_ID||ID|Location identifier|327-16A
CTRS|*|SAMP_TOP|m|2DP|Depth to top of sample|24.55
CTRS|*|SAMP_REF||X|Sample reference|24
CTRS|*|SAMP_TYPE||PA|Sample type|U
CTRS|*|SAMP_ID||ID|Sample unique identifier|ABC121415010
CTRS|*|SPEC_REF||X|Specimen reference|1a
CTRS|*|SPEC_DPTH|m|2DP|Depth to top of test specimen|24.55
CTRS|*|CTRS_TESN||X|Test / Stage Number|2
CTRS||CTRS_CELL|kPa|1DP|Saturation cell pressure|200.1
CTRS||CTRS_BPWP|kPa|1DP|Saturation base porewater pressure|100.2
CTRS||CTRS_MPWP|kPa|1DP|Saturation mid-height porewater pressure|120.1
CTRS||CTRS_MPB||2DP|Saturation mid-height B value|0.95
CTRS||CTRS_BB||2DP|Saturation base B value|0.99
CTRS||CTRS_SAT||X|Saturation method|Back Pressure
CTRS||CTRS_FSAT|%|2DP|Final saturation|99.12
CTRS||CTRS_REM||X|Remarks|
CTRS||FILE_FSET||X|Associated file reference (e.g. test result sheets)|FS10
CORE|*|LOCA_ID||ID|Location identifier|327-16A
CORE|*|CORE_TOP|m|2DP|Depth to top of core run|2.54
CORE|*|CORE_BASE|m|2DP|Depth to base of core run|3.54
CORE||CORE_PREC|%|0DP|Percentage of core recovered in core run (TCR)|32
CORE||CORE_SREC|%|0DP|Percentage of solid core recovered in core run (SCR)|23
CORE||CORE_RQD|%|0DP|Rock Quality Designation for core run (RQD)|20
CORE||CORE_DIAM|mm|0DP|Core diameter|75
CORE||CORE_DURN|hh:mm|T|Time taken to drill core run|0.003472222
CORE||CORE_REM||X|Remarks|Rods dropped 200mm at 3.10m
CORE||FILE_FSET||X|Associated file reference (e.g. photographs of rock cores)|FS5
DCPG|*|LOCA_ID||ID|Location identifier|327-16A
DCPG|*|DCPG_DATE|yyyymm-dd|DT|Test date|37700
DCPG|*|DCPG_TESN||X|Test reference|1
DCPG|*|DCPG_DPTH|m|2DP|Depth from surface to start of test|0.3
DCPG||DCPG_ZERO|mm|0DP|Zero reading|223
DCPG||DCPG_LREM||X|Details of surface and base layers removed prior to/during the test (if applicable)|Asphalt surface layer removed by coring to allow testing of sub-base layers
DCPG||DCPG_REM||X|Test remarks|Test terminated at 0.53m penetration due to significant lean away from vertical
DCPG||DCPG_ENV||X|Details of weather and environmental conditions during test|Sunny and warm
DCPG||DCPG_METH||X|Test method|DMRB CS 229
DCPG||DCPG_CONT||X|Name of testing organization|ACME On-site Testing Ltd
DCPG||DCPG_CRED||X|Accrediting body and reference number (when appropriate)|UKAS 0000
DCPG||TEST_STAT||X|Test status|Checked
DCPG||FILE_FSET||X|Associated file reference (e.g. field record sheets)|FS26
DCPT|*|LOCA_ID||ID|Location identifier|327-16A
DCPT|*|DCPG_DATE|yyyymm-dd|DT|Test date|37700
DCPT|*|DCPG_TESN||X|Test reference|1
DCPT|*|DCPG_DPTH|m|2DP|Depth from surface to start of test|0.3
DCPT|*|DCPT_CBLO||0DP|Cumulative blows|1
DCPT||DCPT_PEN|mm|0DP|Penetration at DCPT_CBLO|9
DCPT||DCPT_DEL|hh:mm|T|Delay before increment started|0
DCPT||DCPT_REM||X|Test reading remarks|
DETL|*|LOCA_ID||ID|Location identifier|327-16A
DETL|*|DETL_TOP|m|2DP|Depth to top of detail description|3.46
DETL|*|DETL_BASE|m|2DP|Depth to base of detail description|3.76
DETL||DETL_DESC||X|Detail description|Claystone
DETL||DETL_REM||X|Remarks|
DETL||FILE_FSET||X|Associated file reference (e.g. logging field sheets)|FS4
DISC|*|LOCA_ID||ID|Location identifier|327-16A
DISC|*|DISC_TOP|m|2DP|Depth to top in hole, or distance to start on traverse, of discontinuity zone, or discontinuity|10.26
DISC|*|DISC_BASE|m|2DP|Depth to base in hole, or distance to end on traverse, of discontinuity zone|12.67
DISC|*|FRAC_SET||X|Discontinuity set reference|J3
DISC|*|DISC_NUMB||X|Discontinuity reference|57
DISC||DISC_TYPE||PA|Type of discontinuity|Joint
DISC||DISC_DIP|deg|X|Dip of discontinuity|8
DISC||DISC_DIR|deg|X|Dip direction of discontinuity|247
DISC||DISC_RGH||X|Small scale roughness|Smooth
DISC||DISC_PLAN||X|Medium scale roughness|Planar
DISC||DISC_WAVE|m|1DP|Large scale roughness, wavelength|15.1
DISC||DISC_AMP|m|1DP|Large scale roughness, amplitude|0.5
DISC||DISC_JRC||0DP|Joint Roughness Coefficient|10
DISC||DISC_APP||X|Surface appearance|Slightly polished
DISC||DISC_APT|mm|XN|Discontinuity aperture measurement|2
DISC||DISC_APOB||X|Discontinuity aperture observation|Infilled
DISC||DISC_INFM||X|Infilling material|Soft clay
DISC||DISC_TERM||PA|Discontinuity termination (lower, upper)|X
DISC||DISC_PERS|m|1DP|Persistence measurement|10.5
DISC||DISC_STR|MPa|0DP|Discontinuity wall strength|50
DISC||DISC_WETH||X|Discontinuity wall weathering|Slightly weathered
DISC||DISC_SEEP||X|Seepage rating|Small
DISC||DISC_FLOW|l/s|0DP|Water flow estimate|2
DISC||DISC_REM||X|Remarks|
DISC||FILE_FSET||X|Associated file reference (e.g. logging field sheets)|FS24
DLOG|*|LOCA_ID||ID|Location identifier|327-16A
DLOG|*|DLOG_TOP|m|2DP|Depth to top of drillers stratum description|11.25
DLOG|*|DLOG_BASE|m|2DP|Depth to base of drillers stratum description|12.25
DLOG||DLOG_DESC||X|Drillers description of stratum|Dense yellow SAND
DLOG||DLOG_REM||X|Remarks|
DLOG||FILE_FSET||X|Associated file reference (e.g. sampling field sheets)|FS67
DOBS|*|LOCA_ID||ID|Location identifier|327-16A
DOBS|*|DOBS_TOP|m|2DP|Depth to top of reported section|6.2
DOBS|*|DOBS_BASE|m|2DP|Depth to base of reported section|7.2
DOBS|*|DOBS_SET||X|Readings set reference|A
DOBS||DOBS_DURN|hh:mm:ss|T|Duration to advance reported section|0.003472222
DOBS||DOBS_STIM|yyyy-mmddThh:mm:ss|DT|Date and time of start of reported section|2010-12-02T14:05:15
DOBS||DOBS_ETIM|yyyy-mmddThh:mm:ss|DT|Date and time at end of reported section|2010-12-02T14:10:15
DOBS||DOBS_DHRT|Nm|1DP|Drill head rotational torque|250.5
DOBS||DOBS_DHRS|rpm|0DP|Drill head rotational speed|76
DOBS||DOBS_PENR|m/hr|1DP|Penetration rate|2
DOBS||DOBS_HAMM||YN|Hammering used during section|N
DOBS||DOBS_THRP|bar|1DP|Pressure of downthrust system|30
DOBS||DOBS_RESP|bar|1DP|Pressure of restraining (holdback) system|25
DOBS||DOBS_TORP|bar|1DP|Torque pressure|20
DOBS||DOBS_TORQ|Nm|1DP|Torque applied to top of drill rods|250
DOBS||DOBS_THST|kN|1DP|Downward thrust on bit|5
DOBS||DOBS_REST|kN|1DP|Restraining (holdback) force|5
DOBS||DOBS_HAMP|bar|1DP|Supply pressure to downhole hammer|80
DOBS||DOBS_SPEN|MJ/m3|1DP|Specific energy|500
DOBS||DOBS_FMPO|kPa|1DP|Flushing medium pressure at the output of the pump over flush zone|15.3
DOBS||DOBS_FMCR|l/min|1DP|Flushing medium circulation rate (input) over flush zone|1.2
DOBS||DOBS_FMRR|l/min|1DP|Flushing medium recovery rate over flush zone|1.1
DOBS||DOBS_REM||X|Remarks|
DOBS||FILE_FSET||X|Associated file reference (e.g. drilling journals or log files)|FS36
DPRG|*|LOCA_ID||ID|Location identifier|327-16A
DPRG|*|DPRG_TESN||X|Test reference|1
DPRG||DPRG_DATE|yyyymm-dd|DT|Test date|37700
DPRG||DPRG_TYPE||PA|Dynamic probe type|DPL
DPRG||DPRG_METH||X|Test method|BS EN ISO 22476-2
DPRG||DPRG_MASS|kg|1DP|Hammer mass|50
DPRG||DPRG_DROP|mm|0DP|Standard drop|500
DPRG||DPRG_CONE|mm|1DP|Cone base diameter|43
DPRG||DPRG_ROD|mm|0DP|Rod diameter|35
DPRG||DPRG_TANV||X|Type of anvil|
DPRG||DPRG_DAMP||X|Type of anvil damper|None
DPRG||DPRG_TIP|m|2DP|Depth of cone if left in ground|8
DPRG||DPRG_REM||X|General remarks|Hole backfilled on completion
DPRG||DPRG_ANG|deg|0DP|Cone angle|90
DPRG||DPRG_RMSS|kg/m|1DP|Rod mass|9
DPRG||DPRG_PARF||X|Precautions against rod friction|
DPRG||DPRG_PDIU||X|Pre-drilling if used|
DPRG||DPRG_BCF||X|Blow count frequency|
DPRG||DPRG_GW|m|2DP|Groundwater level|1
DPRG||DPRG_REET||X|Reasons for early end of test|
DPRG||DPRG_ENV||X|Details of weather and environmental conditions during test|Heavy rain
DPRG||DPRG_CONT||X|Name of testing organization|ACME On-site Testing Ltd
DPRG||DPRG_CRED||X|Accrediting body and reference number (when appropriate)|UKAS 0000
DPRG||TEST_STAT||X|Test status|Checked
DPRG||FILE_FSET||X|Associated file reference (e.g. equipment calibrations)|FS25
DPRB|*|LOCA_ID||ID|Location identifier|327-16A
DPRB|*|DPRG_TESN||X|Test reference|1
DPRB|*|DPRB_DPTH|m|2DP|Depth to start of dynamic probe increment|2.5
DPRB||DPRB_BLOW||0DP|Dynamic probe blows for increment DPRB_INC|7
DPRB||DPRB_CBLW||0DP|Cumulative blows for test|35
DPRB||DPRB_TORQ|Nm|0DP|Maximum torque required to rotate rods|75
DPRB||DPRB_DEL|hh:mm|T|Delay before increment started|0
DPRB||DPRB_INC|mm|0DP|Dynamic probe increment|100
DPRB||DPRB_REM||X|Notes on events during increment|
DPRB||FILE_FSET||X|Associated file reference|FS25
DREM|*|LOCA_ID||ID|Location identifier|327-16A
DREM|*|DREM_TOP|m|2DP|Depth of remark (DREM_REM)|12.5
DREM|*|DREM_BASE|m|2DP|Base depth|13.8
DREM||DREM_REM||X|Depth related remark|Driving boulder ahead of casing
DREM||FILE_FSET||X|Associated file reference (e.g. drilling journals)|FS5
ECTN|*|LOCA_ID||ID|Location identifier|327-16A
ECTN|*|SAMP_TOP|m|2DP|Depth to top of sample|11.25
ECTN|*|SAMP_REF||X|Sample reference|32
ECTN|*|SAMP_TYPE||PA|Sample type|ES
ECTN|*|SAMP_ID||ID|Sample unique identifier|ABC121418010
ECTN|*R|ECTN_ID||ID|Container unique identifier|AA121589465
ECTN||ECTN_TYPE||X|Sample container type|AMBER_GLASS
ECTN||ECTN_REM||X|Sample container remarks|
ECTN||FILE_FSET||X|Associated file reference (e.g. sampling field sheets)|FS67
ELRG|*|LOCA_ID||ID|Location Identifier|327-16A
ELRG|*|SAMP_TOP|m|2DP|Depth to top of sample|24.55
ELRG|*|SAMP_REF||X|Sample reference|24
ELRG|*|SAMP_TYPE||PA|Sample type|ES
ELRG|*|SAMP_ID||ID|Sample unique identifier|ABC121415010
ELRG|*|SPEC_REF||X|Specimen reference|1a
ELRG|*|SPEC_DPTH|m|2DP|Depth to top of test specimen|24.55
ELRG|*R|ELRG_CODE||PA|Determinand code|P04100
ELRG|*|ELRG_METH||X|Test method|In house method no 231241
ELRG|*|ELRG_MATX||PA|Laboratory test matrix|LIQUID
ELRG|*|ELRG_RTYP||PA|Run type (initial or reanalysis)|INITIAL
ELRG|*|ELRG_TADE||PA|Test additional descriptor|CEN_2_1
ELRG|*|ELRG_TICN||X|Tentatively identified compound (TIC)|1,2,3,dibrom etc
ELRG|*R|ELRG_RUNI||PU|Result unit|mg/l
ELRG||SPEC_DESC||X|Specimen description|Grey angular limestone
ELRG||SPEC_PREP||X|Details of specimen preparation including time between preparation and testing|Prepared according to client instructions
ELRG||SPEC_BASE|m|2DP|Depth to base of specimen|24.65
ELRG||ELRG_LSID||X|Laboratory sample ID|ABC123-A
ELRG||ELRG_RTCD||PA|Result type|TIC
ELRG||ELRG_IQLF||X|Interpreted qualifiers|
ELRG||ELRG_LQLF||X|Laboratory qualifiers|<
ELRG||ELRG_RVAL||U|Result value|0.25
ELRG||ELRG_RTXT||X|Reported result|<2.3
ELRG||ELRG_NAME||X|Determinand name|Boron
ELRG||ELRG_TNAM||X|Laboratory analytical name|Boron
ELRG||ELRG_DCAT||X|Determinand category|Metals, VOC, Pesticides
ELRG||ELRG_TESN||X|Test reference|
ELRG||ELRG_FDEV||YN|Flagged deviation|
ELRG||ELRG_DEV||X|Result deviation description(s)|Holding time + Incorrect containers
ELRG||ELRG_RRES||YN|Reportable result|Y
ELRG||ELRG_DETF||YN|Detect flag|N
ELRG||ELRG_ORG||YN|Organic|Y
ELRG||ELRG_RDLM||U|Reporting detection limit|10
ELRG||ELRG_MDLM||U|Method detection limit|1
ELRG||ELRG_QLM||U|Quantification limit|10
ELRG||ELRG_DUNI||PU|Unit of detection/quantification limits|mg/l
ELRG||ELRG_CASC||X|CAS code|7782-44-7
ELRG||ELRG_TICP|%|0DP|Tentatively identified compound probability (TIC)|10
ELRG||ELRG_TICT|s|0DP|Tentatively identified compound retention time (TIC)|2
ELRG||ELRG_RDAT|yyyy-mmddThh:mm|DT|Sample receipt date/time at laboratory|2020-12-05T12:00
ELRG||ELRG_SGRP||X|Sample delivery or batch code|ABC123
ELRG||ELRG_DTIM|yyyy-mmddThh:mm|DT|Analysis date and time|2020-12-06T09:09
ELRG||ELRG_TEST||X|Test or Suite Name|Suite A
ELRG||ELRG_TORD||X|Total or dissolved|Total
ELRG||ELRG_LOCN||PA|Analysis location|LAB
ELRG||ELRG_BAS||PA|Basis|WET
ELRG||ELRG_DIL||0DP|Dilution factor|5
ELRG||ELRG_LMTH||X|Leachate preparation method|0.417361111
ELRG||ELRG_LDTM|yyyy-mmddThh:mm|DT|Leachate preparation date and time|2020-12-06T09:19
ELRG||ELRG_IREF||X|Instrument reference number or identifier|ABC123
ELRG||ELRG_ITYP||X|Instrument type|GCMS
ELRG||ELRG_SIZE|mm|0DP|Size of material removed prior to test; value given indicates lowest sized material removed|2.1
ELRG||ELRG_PERP|%|1DP|Percentage of material removed|8.9
ELRG||ELRG_REM||X|Remarks|
ELRG||ELRG_LAB||X|Name of testing laboratory/organization (when appropriate)|ACME Laboratories plc
ELRG||TEST_STAT||X|Test status|Checked
ELRG||FILE_FSET||X|Associated file reference (e.g. test result sheets)|FS13
ERES|*|LOCA_ID||ID|Location Identifier|327-16A
ERES|*|SAMP_TOP|m|2DP|Depth to top of sample|24.55
ERES|*|SAMP_REF||X|Sample reference|24
ERES|*|SAMP_TYPE||PA|Sample type|ES
ERES|*|SAMP_ID||ID|Sample unique identifier|ABC121415010
ERES|*|SPEC_REF||X|Laboratory specimen reference or Laboratory ID|CL/477627
ERES|*|SPEC_DPTH|m|2DP|Depth to top of test specimen|24.55
ERES|*R|ERES_CODE||PA|Chemical code|7440-42-8
ERES|*|ERES_METH||X|Test method|In house method no 231241
ERES|*R|ERES_MATX||PA|Laboratory test matrix|LIQUID
ERES|*|ERES_RTYP||PA|Run type (Initial or Reanalysis)|INITIAL
ERES||ERES_TESN||X|Test reference|2
ERES||ERES_NAME||X|Chemical name|Boron
ERES||ERES_TNAM||X|Laboratory analytical test name|MQ45
ERES||ERES_RVAL||U|Result value|0.25
ERES|R|ERES_RUNI||PU|Result unit|mg/l
ERES||ERES_RTXT||X|Reported result|<2.3
ERES||ERES_RTCD||PA|Result type|TRG
ERES||ERES_RRES||YN|Reportable result|Y
ERES||ERES_DETF||YN|Detect flag|Y
ERES||ERES_ORG||YN|Organic|N
ERES||ERES_IQLF||X|Interpreted qualifiers|<
ERES||ERES_LQLF||X|Laboratory qualifiers|<
ERES||ERES_RDLM||U|Reporting detection limit|10
ERES||ERES_MDLM||U|Method detection limit|1
ERES||ERES_QLM||U|Quantification limit|10
ERES||ERES_DUNI||PU|Unit of detection / quantification limits|mg/l
ERES||ERES_TICP|%|0DP|Tentatively Identified Compound probability (TIC)|93
ERES||ERES_TICT|s|0DP|Tentatively identified compound retention time (TIC)|203
ERES||ERES_RDAT|yyyy-mmdd|DT|Sample receipt date at laboratory|39036
ERES||ERES_SGRP||X|Sample delivery or batch code|ERS151106
ERES||SPEC_PREP||X|Details of specimen preparation including time between preparation and testing|Prepared according to client instructions
ERES||SPEC_DESC||X|Specimen description|Grey slightly gravelly clay
ERES||ERES_DTIM|yyyy-mmddThh:mm|DT|Analysis date and time date|2006-11-17T12:10
ERES||ERES_TEST||X|Test Name as defined in LBST_TEST during electronic scheduling|VOC
ERES||ERES_TORD||X|Total or dissolved|Total
ERES||ERES_LOCN||PA|Analysis location|LAB
